es-tr-en-audio

olarak - como - as, no hint
ben - ben - I, no hint
onun - su - her, no hint
bu - eso - this, no hint
diye - ese - that, no hint
oldu - sucedió - it happened, no hint
için - por - for, no hint
üzerinde - sobre - over, no hint
vardır - posee - has, no hint
ile - con - with, no hint
onlar - ellos - they, no hint
olmak - ser - become, no hint
at - a - at, no hint
bir - uno - one, no hint
var - dónde - exist, no hint
bu - eso - this, no hint
dan - y - and, no hint
tarafından - por - by, no hint
sıcak - caliente - hot, no hint
kelime - palabra - word, no hint
ancak - pero - but, no hint
ne - nacido - what, no hint
bazı - algunos - some, no hint
olduğunu - es eso - is that, no hint
o - los - he, no hint
sen - su - you, no hint
veya - o - or, no hint
vardı - tenía - had, no hint
arasında - entre - between, no hint
karşı - contra - against, no hint
ve - y - and, no hint
bir - uno - one, no hint
içinde - en - in, no hint
biz - nosotros - we, no hint
can - lata - can, no hint
üzerinden - sobre - over, no hint
diğer - otro - other, no hint
vardı - tenía - had, no hint
hangi - cuales - which, no hint
do - hacer - do, no hint
onların - su - their, no hint
zaman - hora - time, no hint
eğer - si - if, no hint
olacak - será - it will be, no hint
nasıl - cómo - how, no hint
dedi - dicho - said, no hint
bir - uno - one, no hint
her - su - every, no hint
söyle - dilo - say it, no hint
yok - no - no, no hint
set - colocar - set, no hint
üç - tres - three, no hint
istiyorum - quiero - i want, no hint
hava - aire - air, no hint
iyi - bien - good, no hint
ayrıca - además - also, no hint
oynamak - tocar - play, no hint
küçük - pequeño - small, no hint
son - su - his, no hint
koymak - poner - put, no hint
ev - hogar - home, no hint
okumak - leyendo - reading, no hint
el - el - the, no hint
liman - puerto - port, no hint
büyük - grande - big, no hint
büyü - magia - magic, no hint
ekleyin - agregar - add, no hint
hatta - incluso - even, no hint
arazi - tierra - land, no hint
burada - aquí - here, no hint
gerekir - deber - must, no hint
yüksek - alto - high, no hint
böyle - semejante - such, no hint
izleyin - reloj - watch, no hint
hareket - movimiento - movement, no hint
neden - porqué es eso - why, no hint
sormak - pedir - ask, no hint
erkekler - hombres - men, no hint
değişim - cambio - change, no hint
gitti - desaparecido - gone, no hint
ışık - ligero - light, no hint
tür - tipo - kind, no hint
kapalı - cerrado - closed, no hint
gerek - necesitar - need, no hint
ev - hogar - home, no hint
resim - fotografía - picture, no hint
denemek - tratar - try, no hint
bizi - nosotros - us, no hint
tekrar - otra vez - again, no hint
hayvan - animal - animal, no hint
nokta - punto - dot, no hint
anne - ana - anne, no hint
dünya - mundo - world, no hint
yakın - cerca - near, no hint
inşa - construcción - construction, no hint
öz - propio - own, no hint
toprak - tierra - soil, no hint
baba - partera - midwife, no hint
herhangi - alguna - any, no hint
yeni - nuevo - new, no hint
iş - negocio - business, no hint
bölüm - episodio - episode, no hint
almak - recibir - take, no hint
olsun - de todas formas - anyway, no hint
yer - sitio - ground, no hint
yapılan - hecho - made, no hint
canlı - viva - alive, no hint
nerede - dónde - where, no hint
sonra - entonces - after, no hint
geri - espalda - back, no hint
küçük - pequeño - small, no hint
sadece - solo - just, no hint
yuvarlak - redondo - round, no hint
adam - adán - adam, no hint
yıl - año - year, no hint
geldi - llegó - came, no hint
gösterisi - show - show, no hint
her - su - every, no hint
iyi - bien - good, no hint
bana - a mi - to me, no hint
vermek - dar - give, no hint
bizim - ntro - our, no hint
